antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'burgers'}),frozenset({'milk'}),0.13786008230452676,1.0,0.13786008230452676,1.0,1.0,1.0,0.0,inf,0.0,0.13786008230452676,0.0,0.5689300411522634
frozenset({'milk'}),frozenset({'burgers'}),1.0,0.13786008230452676,0.13786008230452676,0.13786008230452676,1.0,1.0,0.0,1.0,0.0,0.13786008230452676,0.0,0.5689300411522634
frozenset({'cake'}),frozenset({'milk'}),0.102880658436214,1.0,0.102880658436214,1.0,1.0,1.0,0.0,inf,0.0,0.102880658436214,0.0,0.551440329218107
frozenset({'milk'}),frozenset({'cake'}),1.0,0.102880658436214,0.102880658436214,0.102880658436214,1.0,1.0,0.0,1.0,0.0,0.102880658436214,0.0,0.551440329218107
frozenset({'chicken'}),frozenset({'milk'}),0.11419753086419752,1.0,0.11419753086419752,1.0,1.0,1.0,0.0,inf,0.0,0.11419753086419752,0.0,0.5570987654320988
frozenset({'milk'}),frozenset({'chicken'}),1.0,0.11419753086419752,0.11419753086419752,0.11419753086419752,1.0,1.0,0.0,1.0,0.0,0.11419753086419752,0.0,0.5570987654320988
frozenset({'chocolate'}),frozenset({'milk'}),0.24794238683127573,1.0,0.24794238683127573,1.0,1.0,1.0,0.0,inf,0.0,0.24794238683127573,0.0,0.6239711934156379
frozenset({'milk'}),frozenset({'chocolate'}),1.0,0.24794238683127573,0.24794238683127573,0.24794238683127573,1.0,1.0,0.0,1.0,0.0,0.24794238683127573,0.0,0.6239711934156379
frozenset({'chocolate'}),frozenset({'mineral water'}),0.24794238683127573,0.37037037037037035,0.10802469135802469,0.4356846473029045,1.1763485477178424,1.0,0.01619417771681146,1.1157407407407407,0.1993355481727575,0.2116935483870968,0.10373443983402485,0.3636756569847856
frozenset({'mineral water'}),frozenset({'chocolate'}),0.37037037037037035,0.24794238683127573,0.10802469135802469,0.2916666666666667,1.1763485477178424,1.0,0.01619417771681146,1.0617283950617284,0.23809523809523808,0.2116935483870968,0.05813953488372095,0.3636756569847856
frozenset({'eggs'}),frozenset({'milk'}),0.23765432098765432,1.0,0.23765432098765432,1.0,1.0,1.0,0.0,inf,0.0,0.23765432098765432,0.0,0.6188271604938271
frozenset({'milk'}),frozenset({'eggs'}),1.0,0.23765432098765432,0.23765432098765432,0.23765432098765432,1.0,1.0,0.0,1.0,0.0,0.23765432098765432,0.0,0.6188271604938271
frozenset({'eggs'}),frozenset({'mineral water'}),0.23765432098765432,0.37037037037037035,0.10082304526748971,0.42424242424242425,1.1454545454545455,1.0,0.012802926383173305,1.0935672514619885,0.16657027183342982,0.19878296146044624,0.08556149732620326,0.3482323232323232
frozenset({'mineral water'}),frozenset({'eggs'}),0.37037037037037035,0.23765432098765432,0.10082304526748971,0.27222222222222225,1.1454545454545455,1.0,0.012802926383173305,1.0474978795589485,0.2016806722689077,0.19878296146044624,0.04534412955465591,0.3482323232323232
frozenset({'french fries'}),frozenset({'milk'}),0.1831275720164609,1.0,0.1831275720164609,1.0,1.0,1.0,0.0,inf,0.0,0.1831275720164609,0.0,0.5915637860082305
frozenset({'milk'}),frozenset({'french fries'}),1.0,0.1831275720164609,0.1831275720164609,0.1831275720164609,1.0,1.0,0.0,1.0,0.0,0.1831275720164609,0.0,0.5915637860082305
frozenset({'frozen smoothie'}),frozenset({'milk'}),0.11008230452674897,1.0,0.11008230452674897,1.0,1.0,1.0,0.0,inf,0.0,0.11008230452674897,0.0,0.5550411522633745
frozenset({'milk'}),frozenset({'frozen smoothie'}),1.0,0.11008230452674897,0.11008230452674897,0.11008230452674897,1.0,1.0,0.0,1.0,0.0,0.11008230452674897,0.0,0.5550411522633745
frozenset({'frozen vegetables'}),frozenset({'milk'}),0.18209876543209877,1.0,0.18209876543209877,1.0,1.0,1.0,0.0,inf,0.0,0.1820987654320988,0.0,0.5910493827160493
frozenset({'milk'}),frozenset({'frozen vegetables'}),1.0,0.18209876543209877,0.18209876543209877,0.18209876543209877,1.0,1.0,0.0,1.0,0.0,0.1820987654320988,0.0,0.5910493827160493
frozenset({'green tea'}),frozenset({'milk'}),0.13580246913580246,1.0,0.13580246913580246,1.0,1.0,1.0,0.0,inf,0.0,0.13580246913580246,0.0,0.5679012345679012
frozenset({'milk'}),frozenset({'green tea'}),1.0,0.13580246913580246,0.13580246913580246,0.13580246913580246,1.0,1.0,0.0,1.0,0.0,0.13580246913580246,0.0,0.5679012345679012
frozenset({'milk'}),frozenset({'ground beef'}),1.0,0.1697530864197531,0.1697530864197531,0.1697530864197531,1.0,1.0,0.0,1.0,0.0,0.1697530864197531,0.0,0.5848765432098766
frozenset({'ground beef'}),frozenset({'milk'}),0.1697530864197531,1.0,0.1697530864197531,1.0,1.0,1.0,0.0,inf,0.0,0.1697530864197531,0.0,0.5848765432098766
frozenset({'low fat yogurt'}),frozenset({'milk'}),0.10185185185185185,1.0,0.10185185185185185,1.0,1.0,1.0,0.0,inf,0.0,0.10185185185185185,0.0,0.5509259259259259
frozenset({'milk'}),frozenset({'low fat yogurt'}),1.0,0.10185185185185185,0.10185185185185185,0.10185185185185185,1.0,1.0,0.0,1.0,0.0,0.10185185185185185,0.0,0.5509259259259259
frozenset({'milk'}),frozenset({'mineral water'}),1.0,0.37037037037037035,0.37037037037037035,0.37037037037037035,1.0,1.0,0.0,1.0,0.0,0.3703703703703704,0.0,0.6851851851851851
frozenset({'mineral water'}),frozenset({'milk'}),0.37037037037037035,1.0,0.37037037037037035,1.0,1.0,1.0,0.0,inf,0.0,0.3703703703703704,0.0,0.6851851851851851
frozenset({'olive oil'}),frozenset({'milk'}),0.13168724279835392,1.0,0.13168724279835392,1.0,1.0,1.0,0.0,inf,0.0,0.13168724279835392,0.0,0.565843621399177
frozenset({'milk'}),frozenset({'olive oil'}),1.0,0.13168724279835392,0.13168724279835392,0.13168724279835392,1.0,1.0,0.0,1.0,0.0,0.13168724279835392,0.0,0.565843621399177
frozenset({'pancakes'}),frozenset({'milk'}),0.12757201646090535,1.0,0.12757201646090535,1.0,1.0,1.0,0.0,inf,0.0,0.12757201646090535,0.0,0.5637860082304527
frozenset({'milk'}),frozenset({'pancakes'}),1.0,0.12757201646090535,0.12757201646090535,0.12757201646090535,1.0,1.0,0.0,1.0,0.0,0.12757201646090535,0.0,0.5637860082304527
frozenset({'shrimp'}),frozenset({'milk'}),0.13580246913580246,1.0,0.13580246913580246,1.0,1.0,1.0,0.0,inf,0.0,0.13580246913580246,0.0,0.5679012345679012
frozenset({'milk'}),frozenset({'shrimp'}),1.0,0.13580246913580246,0.13580246913580246,0.13580246913580246,1.0,1.0,0.0,1.0,0.0,0.13580246913580246,0.0,0.5679012345679012
frozenset({'soup'}),frozenset({'milk'}),0.11728395061728394,1.0,0.11728395061728394,1.0,1.0,1.0,0.0,inf,0.0,0.11728395061728394,0.0,0.558641975308642
frozenset({'milk'}),frozenset({'soup'}),1.0,0.11728395061728394,0.11728395061728394,0.11728395061728394,1.0,1.0,0.0,1.0,0.0,0.11728395061728394,0.0,0.558641975308642
frozenset({'milk'}),frozenset({'spaghetti'}),1.0,0.2736625514403292,0.2736625514403292,0.2736625514403292,1.0,1.0,0.0,1.0,0.0,0.2736625514403292,0.0,0.6368312757201646
frozenset({'spaghetti'}),frozenset({'milk'}),0.2736625514403292,1.0,0.2736625514403292,1.0,1.0,1.0,0.0,inf,0.0,0.2736625514403292,0.0,0.6368312757201646
frozenset({'milk'}),frozenset({'tomatoes'}),1.0,0.10802469135802469,0.10802469135802469,0.10802469135802469,1.0,1.0,0.0,1.0,0.0,0.10802469135802469,0.0,0.5540123456790124
frozenset({'tomatoes'}),frozenset({'milk'}),0.10802469135802469,1.0,0.10802469135802469,1.0,1.0,1.0,0.0,inf,0.0,0.10802469135802469,0.0,0.5540123456790124
frozenset({'mineral water'}),frozenset({'spaghetti'}),0.37037037037037035,0.2736625514403292,0.12139917695473251,0.3277777777777778,1.1977443609022558,1.0,0.02004267642127726,1.0805019895928984,0.2622133599202394,0.23228346456692917,0.07450424929178474,0.3856934001670844
frozenset({'spaghetti'}),frozenset({'mineral water'}),0.2736625514403292,0.37037037037037035,0.12139917695473251,0.443609022556391,1.1977443609022558,1.0,0.02004267642127726,1.1316316316316317,0.2273010995342586,0.23228346456692917,0.11632021229544458,0.3856934001670844
