antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str
frozenset({'spaghetti'}),"frozenset({'mineral water', 'milk'})",0.2736625514403292,0.37037037037037035,0.12139917695473251,0.443609022556391,1.1977443609022558,1.0,0.02004267642127726,1.1316316316316317,0.2273010995342586,0.23228346456692917,0.11632021229544458,0.3856934001670844,spaghetti,"mineral water, milk"
"frozenset({'milk', 'spaghetti'})",frozenset({'mineral water'}),0.2736625514403292,0.37037037037037035,0.12139917695473251,0.443609022556391,1.1977443609022558,1.0,0.02004267642127726,1.1316316316316317,0.2273010995342586,0.23228346456692917,0.11632021229544458,0.3856934001670844,"milk, spaghetti",mineral water
frozenset({'mineral water'}),frozenset({'spaghetti'}),0.37037037037037035,0.2736625514403292,0.12139917695473251,0.3277777777777778,1.1977443609022558,1.0,0.02004267642127726,1.0805019895928984,0.2622133599202394,0.23228346456692917,0.07450424929178474,0.3856934001670844,mineral water,spaghetti
"frozenset({'mineral water', 'milk'})",frozenset({'spaghetti'}),0.37037037037037035,0.2736625514403292,0.12139917695473251,0.3277777777777778,1.1977443609022558,1.0,0.02004267642127726,1.0805019895928984,0.2622133599202394,0.23228346456692917,0.07450424929178474,0.3856934001670844,"mineral water, milk",spaghetti
frozenset({'spaghetti'}),frozenset({'mineral water'}),0.2736625514403292,0.37037037037037035,0.12139917695473251,0.443609022556391,1.1977443609022558,1.0,0.02004267642127726,1.1316316316316317,0.2273010995342586,0.23228346456692917,0.11632021229544458,0.3856934001670844,spaghetti,mineral water
frozenset({'mineral water'}),"frozenset({'milk', 'spaghetti'})",0.37037037037037035,0.2736625514403292,0.12139917695473251,0.3277777777777778,1.1977443609022558,1.0,0.02004267642127726,1.0805019895928984,0.2622133599202394,0.23228346456692917,0.07450424929178474,0.3856934001670844,mineral water,"milk, spaghetti"
"frozenset({'chocolate', 'milk'})",frozenset({'mineral water'}),0.24794238683127573,0.37037037037037035,0.10802469135802469,0.4356846473029045,1.1763485477178424,1.0,0.01619417771681146,1.1157407407407407,0.1993355481727575,0.2116935483870968,0.10373443983402485,0.3636756569847856,"chocolate, milk",mineral water
frozenset({'chocolate'}),frozenset({'mineral water'}),0.24794238683127573,0.37037037037037035,0.10802469135802469,0.4356846473029045,1.1763485477178424,1.0,0.01619417771681146,1.1157407407407407,0.1993355481727575,0.2116935483870968,0.10373443983402485,0.3636756569847856,chocolate,mineral water
frozenset({'mineral water'}),frozenset({'chocolate'}),0.37037037037037035,0.24794238683127573,0.10802469135802469,0.2916666666666667,1.1763485477178424,1.0,0.01619417771681146,1.0617283950617284,0.23809523809523808,0.2116935483870968,0.05813953488372095,0.3636756569847856,mineral water,chocolate
"frozenset({'mineral water', 'milk'})",frozenset({'chocolate'}),0.37037037037037035,0.24794238683127573,0.10802469135802469,0.2916666666666667,1.1763485477178424,1.0,0.01619417771681146,1.0617283950617284,0.23809523809523808,0.2116935483870968,0.05813953488372095,0.3636756569847856,"mineral water, milk",chocolate
